frame,450,80,500,500
font,ìçâ‘ä€ÉSÉVÉbÉNL
pen,15
32,217,3.43099999427795,black,08:20:06
32,217,3.44899988174438,black,08:20:06
32,217,3.46599984169006,black,08:20:06
32,217,3.48199987411499,black,08:20:06
32,217,3.49899983406067,black,08:20:06
32,217,3.5149998664856,black,08:20:06
32,217,3.53099989891052,black,08:20:06
32,217,3.54899978637695,black,08:20:06
32,217,3.56499981880188,black,08:20:06
32,217,3.58099985122681,black,08:20:06
32,217,3.59899997711182,black,08:20:06
32,217,3.6159999370575,black,08:20:06
32,217,3.63099980354309,black,08:20:06
32,217,3.6489999294281,black,08:20:06
32,217,3.66499996185303,black,08:20:06
35,216,3.68199992179871,black,08:20:06
42,214,3.69899988174438,black,08:20:06
57,210,3.71599984169006,black,08:20:06
67,205,3.73199987411499,black,08:20:06
81,201,3.75,black,08:20:06
92,197,3.76599979400635,black,08:20:06
107,192,3.78299999237061,black,08:20:06
119,190,3.79899978637695,black,08:20:06
130,186,3.81499981880188,black,08:20:06
144,184,3.83199977874756,black,08:20:06
153,182,3.84899997711182,black,08:20:06
163,180,3.8659999370575,black,08:20:06
169,178,3.88299989700317,black,08:20:06
179,174,3.8989999294281,black,08:20:06
185,174,3.91499996185303,black,08:20:06
193,172,3.93399977684021,black,08:20:06
196,170,3.94899988174438,black,08:20:06
200,170,3.96600008010864,black,08:20:06
204,169,3.98199987411499,black,08:20:06
207,168,3.99900007247925,black,08:20:06
211,166,4.0149998664856,black,08:20:06
215,165,4.03200006484985,black,08:20:06
219,162,4.04999971389771,black,08:20:06
222,161,4.06500005722046,black,08:20:06
227,158,4.08299970626831,black,08:20:06
229,158,4.09899997711182,black,08:20:06
233,156,4.11499977111816,black,08:20:06
236,154,4.13199996948242,black,08:20:06
239,152,4.14799976348877,black,08:20:06
243,150,4.16599988937378,black,08:20:06
249,150,4.18300008773804,black,08:20:06
259,149,4.19899988174438,black,08:20:06
268,147,4.21600008010864,black,08:20:06
280,146,4.23199987411499,black,08:20:06
289,146,4.25,black,08:20:06
296,144,4.26599979400635,black,08:20:06
307,143,4.28200006484985,black,08:20:06
312,143,4.29899978637695,black,08:20:06
323,143,4.31599998474121,black,08:20:06
329,143,4.33299970626831,black,08:20:06
338,143,4.34899997711182,black,08:20:06
343,143,4.36499977111816,black,08:20:06
351,143,4.38299989700317,black,08:20:06
355,143,4.39899969100952,black,08:20:06
359,143,4.41499996185303,black,08:20:06
367,143,4.43199968338013,black,08:20:07
370,143,4.44899988174438,black,08:20:07
376,143,4.46600008010864,black,08:20:07
381,143,4.48199987411499,black,08:20:07
388,143,4.49900007247925,black,08:20:07
391,143,4.5149998664856,black,08:20:07
396,143,4.53200006484985,black,08:20:07
399,143,4.54899978637695,black,08:20:07
403,143,4.56599998474121,black,08:20:07
408,143,4.58199977874756,black,08:20:07
411,143,4.59899997711182,black,08:20:07
416,143,4.61499977111816,black,08:20:07
419,143,4.63299989700317,black,08:20:07
422,143,4.65000009536743,black,08:20:07
424,143,4.66599988937378,black,08:20:07
427,143,4.68199968338013,black,08:20:07
429,143,4.69799995422363,black,08:20:07
431,143,4.71600008010864,black,08:20:07
434,143,4.73199987411499,black,08:20:07
436,143,4.74900007247925,black,08:20:07
439,143,4.76599979400635,black,08:20:07
442,143,4.78200006484985,black,08:20:07
445,143,4.79899978637695,black,08:20:07
447,143,4.81599998474121,black,08:20:07
450,143,4.83199977874756,black,08:20:07
452,143,4.84899997711182,black,08:20:07
452,145,4.86599969863892,black,08:20:07
450,150,4.88299989700317,black,08:20:07
448,155,4.89899969100952,black,08:20:07
445,167,4.91599988937378,black,08:20:07
443,176,4.93300008773804,black,08:20:07
440,186,4.94899988174438,black,08:20:07
437,193,4.96499967575073,black,08:20:07
433,202,4.98299980163574,black,08:20:07
431,208,4.99900007247925,black,08:20:07
429,213,5.01599979400635,black,08:20:07
426,221,5.03299999237061,black,08:20:07
424,226,5.04899978637695,black,08:20:07
420,235,5.06599998474121,black,08:20:07
418,240,5.08199977874756,black,08:20:07
414,248,5.09899997711182,black,08:20:07
413,252,5.11599969863892,black,08:20:07
410,257,5.13199996948242,black,08:20:07
409,260,5.14899969100952,black,08:20:07
407,265,5.16599988937378,black,08:20:07
405,267,5.18300008773804,black,08:20:07
403,270,5.19999980926514,black,08:20:07
400,274,5.21499967575073,black,08:20:07
399,276,5.23299980163574,black,08:20:07
397,278,5.24900007247925,black,08:20:07
395,280,5.2649998664856,black,08:20:07
393,282,5.28299999237061,black,08:20:07
391,284,5.29999971389771,black,08:20:07
389,286,5.31599998474121,black,08:20:07
387,286,5.33299970626831,black,08:20:07
385,288,5.34899997711182,black,08:20:07
383,290,5.36599969863892,black,08:20:07
382,290,5.38199996948242,black,08:20:07
379,292,5.39899969100952,black,08:20:07
378,293,5.41699981689453,black,08:20:07
375,294,5.43199968338013,black,08:20:08
374,295,5.44899988174438,black,08:20:08
373,296,5.46600008010864,black,08:20:08
371,297,5.48199987411499,black,08:20:08
368,298,5.5,black,08:20:08
366,298,5.51599979400635,black,08:20:08
364,299,5.53200006484985,black,08:20:08
362,299,5.54899978637695,black,08:20:08
359,299,5.56599998474121,black,08:20:08
355,299,5.58299970626831,black,08:20:08
350,299,5.59899997711182,black,08:20:08
338,296,5.61700010299683,black,08:20:08
329,292,5.63199996948242,black,08:20:08
322,289,5.64899969100952,black,08:20:08
316,286,5.66599988937378,black,08:20:08
312,285,5.68300008773804,black,08:20:08
311,283,5.69899988174438,black,08:20:08
310,282,5.71600008010864,black,08:20:08
310,281,5.73299980163574,black,08:20:08
